0, 343, 57, 11, 182, 2, 182, 69, 214, 237, 68, 59, 55, 17, 209, 56, 37, 106, 246, 254, 4.988410
115, 243, 79, 18, 7, 108, 108, 221, 24, 252, 274, 167, 180, 204, 11, 178, 254, 57, 195, 111, 5.987980
264, 72, 142, 15, 233, 179, 6, 9, 55, 37, 127, 45, 169, 144, 37, 149, 252, 26, 45, 16, 3.988712
179, 197, 31, 249, 19, 157, 64, 56, 187, 189, 207, 117, 29, 167, 13, 210, 161, 107, 223, 161, 5.987426
178, 30, 196, 141, 112, 303, 115, 67, 72, 56, 172, 269, 153, 66, 200, 132, 1, 140, 305, 64, 5.987649
191, 94, 56, 75, 175, 105, 200, 184, 175, 139, 6, 205, 104, 224, 85, 185, 19, 209, 102, 194, 5.987315
166, 190, 46, 34, 58, 80, 311, 241, 16, 87, 181, 341, 263, 24, 285, 136, 97, 19, 177, 86, 4.988506
86, 18, 20, 113, 65, 89, 33, 193, 255, 13, 1, 275, 70, 34, 1, 68, 44, 24, 67, 229, 3.989331
147, 94, 310, 200, 170, 313, 51, 7, 132, 64, 22, 14, 83, 96, 79, 6, 169, 247, 228, 307, 5.988313
143, 17, 154, 232, 38, 238, 25, 30, 125, 132, 117, 159, 47, 188, 0, 0, 191, 165, 132, 74, 4.988036
246, 10, 240, 39, 132, 200, 281, 128, 19, 33, 113, 93, 111, 113, 73, 1, 94, 85, 1, 8, 3.989003
203, 307, 220, 2, 53, 130, 168, 311, 304, 177, 69, 166, 169, 124, 163, 98, 28, 198, 49, 61, 5.987880
44, 1, 90, 28, 173, 65, 176, 172, 58, 24, 263, 237, 68, 94, 176, 66, 73, 135, 118, 104, 5.987618
176, 273, 280, 149, 118, 237, 142, 38, 170, 71, 123, 121, 86, 337, 76, 22, 1, 26, 37, 174, 4.988369
145, 242, 55, 31, 180, 18, 104, 190, 86, 52, 6, 126, 29, 218, 9, 137, 1, 29, 75, 56, 3.988749
47, 90, 47, 6, 68, 245, 101, 105, 68, 61, 109, 174, 116, 140, 238, 263, 325, 312, 311, 87, 3.988679
283, 301, 303, 86, 206, 58, 304, 282, 127, 33, 125, 91, 14, 112, 200, 100, 18, 95, 40, 43, 4.988709
99, 158, 216, 105, 105, 108, 26, 26, 21, 68, 78, 37, 124, 223, 41, 50, 65, 90, 56, 263, 3.988741
275, 45, 78, 157, 55, 69, 108, 136, 26, 97, 91, 132, 47, 68, 333, 155, 138, 0, 176, 198, 4.988046
221, 54, 60, 181, 237, 236, 270, 60, 138, 108, 25, 55, 175, 50, 0, 245, 202, 96, 13, 61, 4.988561
241, 109, 106, 18, 31, 12, 19, 153, 150, 70, 14, 156, 1, 166, 0, 26, 76, 219, 13, 49, 3.988895
67, 224, 166, 67, 21, 164, 156, 119, 257, 18, 128, 134, 252, 17, 38, 96, 196, 117, 14, 105, 5.987892
141, 126, 269, 61, 232, 216, 81, 245, 167, 163, 48, 57, 235, 20, 35, 161, 136, 154, 32, 118, 5.987938
258, 227, 138, 140, 38, 101, 256, 23, 228, 1, 195, 121, 92, 262, 121, 108, 17, 6, 69, 179, 4.988305
3, 54, 22, 160, 108, 159, 45, 11, 211, 250, 37, 216, 16, 102, 107, 117, 126, 0, 30, 126, 3.988868
126, 34, 180, 228, 158, 196, 254, 271, 17, 296, 37, 37, 41, 69, 71, 118, 24, 210, 35, 226, 4.988215
179, 83, 18, 202, 93, 109, 119, 20, 125, 159, 126, 141, 107, 6, 61, 90, 132, 204, 126, 68, 5.987712
291, 334, 51, 92, 88, 26, 242, 181, 107, 122, 130, 25, 105, 156, 68, 274, 36, 49, 39, 37, 4.988513
102, 69, 161, 319, 20, 293, 163, 126, 1, 316, 36, 332, 135, 128, 189, 162, 222, 10, 0, 187, 3.988884
99, 6, 16, 31, 220, 308, 18, 181, 14, 58, 154, 276, 103, 37, 64, 36, 200, 170, 164, 243, 4.988132
296, 252, 27, 4, 75, 120, 6, 211, 12, 17, 112, 214, 2, 82, 123, 51, 132, 290, 167, 42, 4.988654
149, 88, 48, 213, 284, 208, 22, 247, 35, 228, 56, 143, 74, 76, 142, 47, 58, 6, 35, 53, 3.988337
249, 77, 316, 140, 101, 175, 21, 65, 5, 0, 44, 140, 80, 65, 87, 103, 41, 32, 93, 187, 4.988944
50, 29, 140, 221, 146, 162, 145, 53, 87, 89, 71, 222, 278, 83, 111, 129, 62, 46, 98, 190, 5.987932
5, 37, 166, 221, 92, 79, 61, 47, 252, 205, 32, 8, 66, 107, 10, 132, 108, 64, 44, 69, 3.988908
34, 115, 218, 205, 142, 79, 109, 44, 250, 211, 193, 19, 17, 74, 201, 225, 116, 25, 116, 39, 4.987755
108, 27, 51, 10, 104, 57, 178, 149, 126, 188, 55, 113, 46, 277, 29, 326, 168, 73, 156, 43, 4.988024
223, 61, 175, 23, 75, 197, 2, 87, 123, 172, 210, 209, 95, 92, 46, 38, 39, 103, 40, 339, 4.988452
73, 195, 119, 188, 70, 72, 99, 6, 244, 268, 258, 304, 35, 107, 131, 163, 122, 90, 40, 66, 6.987950
111, 158, 71, 157, 36, 264, 54, 4, 53, 255, 162, 17, 143, 119, 182, 290, 213, 184, 314, 288, 4.987763
10, 21, 182, 91, 184, 292, 233, 136, 131, 37, 119, 160, 124, 84, 236, 141, 30, 1, 166, 135, 5.988090
211, 136, 184, 261, 78, 36, 43, 33, 20, 118, 317, 87, 171, 279, 134, 128, 335, 345, 101, 42, 3.988507
59, 66, 55, 178, 153, 85, 51, 42, 91, 7, 124, 277, 55, 26, 123, 274, 17, 28, 38, 135, 3.988746
79, 75, 0, 154, 178, 129, 34, 81, 41, 5, 220, 153, 69, 38, 0, 144, 88, 0, 84, 151, 4.988606
85, 206, 296, 218, 135, 174, 169, 134, 39, 111, 85, 93, 263, 30, 85, 227, 64, 5, 46, 59, 4.988168
107, 0, 30, 21, 143, 118, 20, 18, 161, 302, 231, 121, 110, 38, 103, 64, 153, 6, 257, 273, 4.988591
164, 10, 122, 122, 109, 186, 255, 64, 106, 113, 170, 234, 211, 21, 91, 139, 42, 74, 254, 260, 4.987957
5, 241, 118, 123, 182, 89, 115, 75, 48, 0, 95, 165, 95, 1, 72, 79, 105, 225, 47, 218, 4.988342
188, 197, 33, 279, 290, 1, 215, 56, 122, 292, 300, 357, 182, 63, 179, 38, 51, 255, 273, 26, 4.988827
252, 121, 135, 180, 1, 10, 83, 271, 187, 29, 226, 151, 131, 18, 47, 6, 118, 8, 116, 282, 3.988672
241, 132, 6, 68, 189, 57, 195, 103, 82, 30, 149, 156, 22, 31, 246, 9, 13, 26, 54, 112, 4.988523
329, 115, 91, 49, 108, 80, 303, 136, 130, 234, 17, 1, 2, 77, 59, 60, 118, 162, 89, 89, 3.988993
13, 62, 84, 0, 75, 31, 206, 0, 82, 45, 32, 164, 187, 250, 177, 125, 53, 41, 23, 55, 3.989200
20, 51, 53, 153, 10, 294, 119, 49, 78, 22, 325, 140, 170, 325, 65, 31, 113, 65, 113, 1, 3.988941
310, 241, 52, 255, 134, 129, 65, 156, 55, 40, 183, 253, 34, 23, 329, 132, 33, 49, 22, 73, 4.988947
10, 225, 339, 184, 65, 97, 112, 184, 99, 78, 3, 148, 27, 108, 14, 27, 172, 217, 83, 85, 3.988314
170, 181, 18, 202, 178, 15, 79, 161, 59, 92, 150, 166, 303, 206, 129, 88, 95, 55, 301, 16, 5.987826
39, 10, 165, 25, 37, 22, 193, 112, 169, 126, 78, 242, 251, 123, 168, 124, 45, 136, 66, 48, 4.988228
103, 223, 221, 257, 97, 83, 30, 76, 28, 145, 195, 1, 19, 12, 75, 2, 28, 36, 189, 206, 4.988546
71, 225, 210, 97, 101, 254, 105, 35, 154, 270, 164, 17, 132, 190, 80, 145, 200, 4, 45, 55, 4.988184
277, 284, 59, 31, 54, 215, 5, 224, 240, 268, 206, 16, 59, 123, 275, 165, 5, 7, 41, 85, 3.988524
24, 47, 114, 128, 134, 147, 236, 89, 219, 203, 122, 144, 262, 153, 70, 11, 213, 295, 3, 305, 5.988041
12, 118, 83, 73, 47, 78, 166, 122, 290, 241, 215, 245, 233, 17, 19, 20, 126, 108, 240, 31, 3.988637
24, 129, 193, 35, 141, 46, 28, 144, 351, 348, 101, 236, 70, 27, 171, 84, 166, 310, 78, 75, 4.988706
39, 31, 15, 58, 51, 239, 322, 198, 79, 208, 174, 78, 14, 152, 169, 200, 53, 153, 209, 64, 4.988100
27, 226, 79, 143, 78, 14, 65, 232, 171, 97, 271, 202, 17, 31, 107, 233, 135, 177, 25, 73, 4.988602
75, 41, 71, 94, 32, 236, 247, 9, 44, 13, 213, 54, 67, 132, 132, 80, 62, 4, 123, 74, 3.989371
